task_id,task_name,frontier,frontier_id,frontier_status,task_status,task_type,template_id,max_count,start_datetime,end_datetime,users_total,users_contributing_data,users_with_adopted_labels,users_validating,total_samples,adopted,refused,pending,submitted
7789596241600103173,Collecting food images and descriptions to power AI understanding of culinary data and nutrition.,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_000002,10000000,1753-11-16 16:00:00,6825-08-30 16:00:00,55673,55673,55428,0,296503,285297,11206,0,0
7995430377900109180,Robotics image label for week5,Robotics for binance,7995373956300106455,PREPARING,COLLECTING,submission,ROBOTICS_TPL_W5,10000000,2025-07-01 04:09:45,2025-11-05 19:20:30,48981,48981,48981,0,282467,282467,0,0,0
7874465013700103498,Collecting food images and descriptions for AI in week2.,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_000003,1000000,2025-05-13 16:11:26,2025-11-09 12:26:14,48182,48182,48182,0,277326,277323,3,0,0
7874487109100104073,Collecting global food images and descriptions to power AI for week3.,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_000004,1000000,2025-07-04 09:10:51,2025-10-10 18:26:09,45541,45541,45463,0,270515,261123,9392,0,0
7874487109100104085,Collecting global food images and descriptions to power AI for week4,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_000005,1000000,2025-07-04 09:18:46,2025-10-19 11:39:16,45461,45461,45339,0,269231,260629,8602,0,0
8780705631500101310,Food Image Annotation,Food Science,7527996594300103455,ONLINE,COLLECTING,submission,AIRDROP_FOOD,1000000,2025-10-13 06:58:46,2026-03-27 01:00:13,7991,7991,474,0,92831,43651,49180,0,0
8426603122700100116,Use an exam to assess users’ skill levels.,User Skill Profiling,8297718401700100451,ONLINE,COLLECTING,submission,ANNOTATOR_INFO_SURVEY_QUIZ,100000,2025-09-02 08:44:05,2026-03-28 10:22:09,80736,80736,80635,0,81652,81200,452,0,0
8426531892500109980,Collecting global food images and descriptions to power AI for week10.,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_W10,100000,2025-09-02 08:43:09,2025-09-28 16:32:49,75630,75630,75408,0,77554,75558,1996,0,0
8565035518300104449,Collecting global food images and descriptions to power AI for week12.,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_W12,100000,2025-09-18 09:52:39,2025-10-09 20:27:13,73320,73320,73043,0,75941,73187,2754,0,0
8426526409300109973,Robotics image label for week10.,Robotics for binance,7995373956300106455,PREPARING,COLLECTING,submission,ROBOTICS_TPL_W10,100000,2025-09-02 09:11:46,2025-11-03 11:08:01,75175,75175,75175,0,75311,75311,0,0,0
8565045466600104490,Collect deposit address images from exchanges for week12.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_DEPOSIT_W12,100000,2025-09-18 09:55:39,2025-10-14 09:31:33,70285,70285,69574,0,74712,70206,4506,0,0
8426510893000109943,Submit images of kitchen appliance knobs and label the scale indicated by the pointer.,Kitchen Appliances,8297663489900109682,PREPARING,COLLECTING,submission,KITCHEN_TPL_W10,100000,2025-09-02 09:20:48,2025-09-28 16:45:14,71952,71952,71667,0,74682,71978,2704,0,0
8426521551800109963,Collect deposit address images from exchanges for week10.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_DEPOSIT_W10,100000,2025-09-02 09:13:41,2025-09-28 16:47:18,70808,70808,70346,0,74062,70789,3273,0,0
8565038901700104462,Robotics image label for week12.,Robotics for binance,7995373956300106455,PREPARING,COLLECTING,submission,ROBOTICS_TPL_W12,100000,2025-09-18 09:54:36,2025-10-24 11:56:14,73712,73712,73712,0,73891,73891,0,0,0
8495400486800109431,Submit images of kitchen appliance knobs and label the scale indicated by the pointer.,Kitchen Appliances,8297663489900109682,PREPARING,COLLECTING,submission,KITCHEN_TPL_W11,1000000,2025-09-10 12:53:37,2025-10-01 19:59:48,71284,71284,71011,0,73822,71400,2422,0,0
8495378046300104551,Collecting global food images and descriptions to power AI for week11.,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_W11,100000,2025-09-10 09:11:41,2025-10-05 13:50:11,71001,71001,70849,0,73003,70987,2016,0,0
8495394906500108169,Collect deposit address images from exchanges for week10.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_DEPOSIT_W11,100000,2025-09-10 09:40:49,2025-09-28 17:16:32,68832,68832,68642,0,72353,70944,1409,0,0
8565046962100104494,Collect withdraw address images from exchanges for week12.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_WITHDRAW_W12,100000,2025-09-18 09:57:38,2025-10-03 13:37:31,69287,69287,69106,0,71986,70617,1369,0,0
8426519497100109959,Collect withdraw address images from exchanges for week10.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_WITHDRAW_W10,100000,2025-09-02 09:19:01,2025-09-21 08:40:36,69437,69437,69243,0,71403,69604,1799,0,0
8495383609200105765,Robotics image label for week11.,Robotics for binance,7995373956300106455,PREPARING,COLLECTING,submission,ROBOTICS_TPL_W11,100000,2025-09-10 09:28:50,2025-10-05 13:54:50,70955,70955,70955,0,71064,71064,0,0,0
8495393491800107878,Collect withdraw address images from exchanges for week11.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_WITHDRAW_W11,100000,2025-09-10 10:48:21,2025-09-27 15:20:06,67528,67528,67461,0,69634,68944,690,0,0
8565022909700104359,Collect questions with error answers from LLMs.,User Skill Profiling,8297718401700100451,ONLINE,COLLECTING,submission,HIGH_QUALITY_USER_TASK2,100000,2025-09-18 09:51:10,2026-01-31 11:31:33,68876,68876,68876,0,68901,68900,1,0,0
8297724949300100555,Use a survey to assess users’ skill levels.,User Skill Profiling,8297718401700100451,ONLINE,COLLECTING,submission,ANNOTATOR_INFO_SURVEY_BASIC,1000000,2025-08-18 10:13:17,2026-03-27 18:44:54,61625,61625,61625,0,64927,64927,0,0,0
8296093913900103595,Collecting global food images and descriptions to power AI for week9.,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_W9,1000000,2025-08-18 08:44:14,2025-10-23 19:11:56,60152,60152,59982,0,63010,60634,2376,0,0
8296074643200103300,Collect depoist address images from exchanges.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_DEPOSIT_W9,1000000,2025-08-18 04:43:29,2025-10-23 19:41:26,57153,57153,56773,0,61315,58305,3010,0,0
8296083646800103469,Robotics image label for week9.,Robotics for binance,7995373956300106455,PREPARING,COLLECTING,submission,ROBOTICS_TPL_W9,1000000,2025-08-18 09:10:15,2025-10-23 19:14:15,60451,60451,60451,0,60961,60961,0,0,0
8297671429100109809,Submit images of kitchen appliance knobs and label the scale indicated by the pointer.,Kitchen Appliances,8297663489900109682,PREPARING,COLLECTING,submission,KITCHEN_TPL_W9,1000000,2025-08-19 03:31:41,2025-10-23 19:31:23,56214,56214,55874,0,59658,56200,3458,0,0
8495366350500102069,Collect questions with inconsistent answers from LLMs.,User Skill Profiling,8297718401700100451,ONLINE,COLLECTING,submission,HIGH_QUALITY_USER,100000,2025-09-10 12:55:55,2025-10-27 09:22:26,46631,46631,45320,0,59190,48754,10436,0,0
8296072191000103272,Collect withdraw address images from exchanges.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_WITHDRAW_W9,1000000,2025-08-18 04:47:21,2025-10-23 19:51:43,55644,55644,55558,0,57948,57020,928,0,0
8245449210100108018,Collect deposit address images from exchanges for week8.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_DEPOSIT_W8,10000000,2025-08-12 08:51:44,2025-10-01 19:40:58,53164,53164,52300,0,57802,52477,5325,0,0
7994748566700100669,Arena food image and description for week8,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_W8,1000000,2025-08-12 08:20:56,2025-10-06 18:21:10,56328,56328,56328,0,57378,57378,0,0,0
8114273779900107583,Collect deposit address images from exchanges.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_DEPOSIT,1000000,2025-07-28 04:13:32,2026-01-12 03:44:16,42473,42473,40646,0,56993,41884,15109,0,0
7995435909500109386,Robotics image label for week8,Robotics for binance,7995373956300106455,PREPARING,COLLECTING,submission,ROBOTICS_TPL_W8,1000000,2025-08-12 08:32:17,2025-10-06 18:22:57,56076,56076,56076,0,56759,56759,0,0,0
8245452130200108035,Collect withdraw address images from exchanges for week8.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_WITHDRAW_W8,10000000,2025-08-12 09:07:36,2025-11-03 05:11:12,52466,52466,51828,0,56321,52015,4306,0,0
8194407896000103686,Collect deposit address images from exchanges for week7.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_DEPOSIT_W7,10000000,2025-08-06 11:01:35,2025-09-30 17:45:41,45111,45111,44140,0,51460,44275,7185,0,0
8114279515800107934,Collect withdraw address images from exchanges.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_WITHDRAW,1000000,2025-07-28 07:55:39,2026-01-11 18:57:32,41262,41262,39957,0,51425,41805,9620,0,0
7994740912300100520,Arena food image and description for week7,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_W7,1000000,2025-07-21 02:17:22,2025-10-05 19:27:13,49223,49223,49223,0,50457,50457,0,0,0
7994720808500109982,Human evaluate food image and description for week5,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_M2_W1,1000000,2025-07-17 09:40:44,2025-09-28 17:30:24,49282,49282,49282,0,49931,49931,0,0,0
7995668964900100987,Robotics image label for week7,Robotics for binance,7995373956300106455,PREPARING,COLLECTING,submission,ROBOTICS_TPL_W7,1000000,2025-08-06 11:04:23,2025-10-14 19:16:05,49043,49043,49043,0,49671,49671,0,0,0
8194411415800103734,Collect withdraw address images from exchanges for week7.,CEX Hot Wallet,8114254168500106625,ONLINE,PAUSE,submission,CRYPTO_TPL_WITHDRAW_W7,10000000,2025-08-06 11:05:15,2025-10-14 19:17:25,44365,44365,43703,0,49503,43856,5647,0,0
7994738248300100441,Arena food image and description for week6,Food Science - depreted,7789563647400103170,PREPARING,COLLECTING,submission,FOOD_TPL_W6,1000000,2025-07-21 02:16:32,2025-09-28 17:33:47,47175,47175,47175,0,48138,48138,0,0,0
7995432727700109275,Robotics image label for week6,Robotics for binance,7995373956300106455,PREPARING,COLLECTING,submission,ROBOTICS_TPL_W6,1000000,2025-07-28 04:11:25,2025-09-28 17:34:20,47058,47058,47058,0,47610,47610,0,0,0
8780679023800101152,Provide the correct answer to expose LLM failures.,Correct LLM's Mistakes,8780671143300101139,ONLINE,COLLECTING,submission,AIRDROP_EXPERT_ANSWER_PROVISION,1000000,2025-10-13 06:57:22,2026-03-07 10:35:26,8497,8497,218,0,39781,948,38833,0,0
8780653218600101100,Spot LLM's Mistakes,Spot LLM's Mistakes,8780645457200101096,ONLINE,COLLECTING,submission,AIRDROP_BAD_CASE_ANALYSIS,1000000,2025-10-13 06:57:44,2026-03-29 03:51:58,1232,1232,270,0,17471,1188,16283,0,0
8780546754700100781,Objectively compare AI models based on set criteria.,Model Comparison,8780526700200100693,ONLINE,COLLECTING,submission,AIRDROP_MODEL_COMPARISON,1000000,2025-10-13 06:58:18,2026-01-27 14:56:19,1933,1933,363,0,13792,1178,12614,0,0
9142643567600105187,Collect Crypto & Stock Information,Crypto & Stock Information,9142635410800104469,ONLINE,COLLECTING,submission,CRYPTO_AND_STOCK_INFO_COLLECTION,1000000000,2025-11-24 04:15:00,2026-03-27 23:14:16,174,174,138,0,13028,3516,9512,0,0
7528474065300103578,NFT Image Annotation,NFT,7528212183500103558,ONLINE,PAUSE,submission,NFT_TPL_000001,10000000,2025-05-21 08:49:31,2025-07-23 04:00:14,136,136,10,0,12886,30,12856,0,0
7528465136400103577,Outfit Photo Collection,Outfit of the Day,7528195704600103550,ONLINE,PAUSE,submission,OOTD_TPL_000001,1000000,2025-05-21 16:25:50,2025-07-23 04:28:21,166,166,3,0,9878,31,9847,0,0
6155757553400100867,L3 ucsd_kitchen_dataset_ep000146,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-14 12:59:27,2025-10-24 03:04:57,5985,5985,123,0,8364,127,6303,0,1934
7528449925900103576,Voice Recording,Speech,7528218590300103563,ONLINE,PAUSE,submission,SPEECH_TPL_000001,10000000,2025-05-21 10:06:38,2025-07-25 14:13:56,118,118,85,0,7716,810,6906,0,0
6459383089000101956,L1 task-pick_water_50_4_7th-44,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2025-01-17 08:30:49,2026-03-24 14:08:55,6385,6385,278,0,6386,278,6095,13,0
7528085182000103499,Food Image and Description Collection,Food Science,7527996594300103455,ONLINE,PAUSE,submission,FOOD_TPL_000001,1000000,2025-05-21 07:30:42,2025-10-12 18:49:56,276,276,3,0,6164,10,6154,0,0
9766459299500100033,Label fashion data,Fashion,9766412189800109982,ONLINE,COLLECTING,validation,FASHION_VALIDATION,1000000,2026-02-04 09:04:52,2026-03-28 22:29:55,44,0,0,44,5175,3984,1091,100,0
6155757556900100870,L3 ucsd_kitchen_dataset_ep000147,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-16 22:48:15,2025-10-25 03:19:23,4383,4383,67,0,4734,69,3051,1,1613
6459383091600101958,L3 task-pick_water_50_4_7th-44,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2025-01-17 09:11:02,2026-03-24 14:21:01,4603,4603,103,0,4608,103,4492,13,0
9142663913300108352,Collect Real‑world Photo,Real‑world Photo,9142649736200106296,ONLINE,COLLECTING,submission,REAL_WORLD_PHOTO_COLLECTION,1000000000,2025-11-24 04:19:09,2026-03-26 22:04:09,165,165,148,0,4430,1232,3198,0,0
6155757560600100873,L3 ucsd_kitchen_dataset_ep000148,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-14 13:00:10,2025-10-25 03:33:36,3893,3893,47,0,4367,48,2832,2,1485
6155757508600100829,L1 ucsd_kitchen_dataset_ep000134,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-25 17:23:34,2025-10-30 03:01:39,283,283,2,0,3904,2,3219,2,681
9464652158900101893,Appliance Knob Collection & Annotation,Appliance Knob,9464625302500101850,ONLINE,COLLECTING,submission,AIRDROP_KNOB,10000,1767-08-05 16:00:00,2026-03-25 11:46:33,256,256,106,0,3886,3164,660,62,0
6155757554600100868,L1 ucsd_kitchen_dataset_ep000147,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-14 09:26:22,2025-10-24 03:05:15,3485,3485,48,0,3838,50,2605,0,1183
6155757564200100876,L3 ucsd_kitchen_dataset_ep000149,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-19 07:45:28,2025-10-25 03:34:07,3261,3261,34,0,3664,35,2401,2,1226
6155757558100100871,L1 ucsd_kitchen_dataset_ep000148,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-14 10:42:32,2025-10-25 03:19:45,2674,2674,30,0,2994,30,2062,1,901
6155757468800100795,L3 ucsd_kitchen_dataset_ep000122,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-19 07:46:00,2025-10-25 03:34:40,2687,2687,21,0,2829,21,1795,2,1011
6155757561800100874,L1 ucsd_kitchen_dataset_ep000149,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-17 01:46:45,2025-10-25 03:20:31,2232,2232,17,0,2501,17,1676,1,807
6155757472200100798,L3 ucsd_kitchen_dataset_ep000123,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-19 07:46:31,2025-10-26 02:52:30,1682,1682,14,0,1789,14,1200,2,573
6459383092800101959,L1 task-pick_water_50_4_7th-45,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2025-01-17 09:11:18,2026-03-24 14:25:27,1723,1723,92,0,1723,92,1622,9,0
6155757470000100796,L1 ucsd_kitchen_dataset_ep000123,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-19 07:47:21,2025-10-25 03:34:55,1499,1499,10,0,1605,10,1092,2,501
6459383095500101961,L3 task-pick_water_50_4_7th-45,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2025-01-17 09:39:19,2026-03-24 14:48:35,1285,1285,39,0,1285,39,1226,20,0
6155757475600100801,L3 ucsd_kitchen_dataset_ep000124,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-19 07:48:08,2025-10-26 03:07:13,1162,1162,11,0,1222,11,814,2,395
6155757473200100799,L1 ucsd_kitchen_dataset_ep000124,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-19 07:47:38,2025-10-26 02:53:56,1116,1116,4,0,1165,4,756,2,403
6459383096800101962,L1 task-pick_water_50_4_7th-46,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2025-01-17 09:39:28,2026-03-24 15:00:24,1045,1045,48,0,1050,48,987,15,0
6155757479200100804,L3 ucsd_kitchen_dataset_ep000125,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-19 07:48:58,2025-10-27 02:55:55,983,983,5,0,1006,5,630,2,369
6155757482500100807,L3 ucsd_kitchen_dataset_ep000126,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-19 08:03:34,2025-10-27 02:58:19,859,859,7,0,895,7,541,2,345
6459383099500101964,L3 task-pick_water_50_4_7th-46,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2025-01-17 09:39:43,2026-03-24 15:05:50,852,852,29,0,852,29,809,14,0
6155757476800100802,L1 ucsd_kitchen_dataset_ep000125,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-19 07:48:27,2025-10-26 02:54:44,800,800,2,0,844,2,552,2,288
6155757505000100826,L1 ucsd_kitchen_dataset_ep000133,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-25 17:23:29,2025-10-29 02:50:04,192,192,4,0,828,4,126,2,696
6155757480300100805,L1 ucsd_kitchen_dataset_ep000126,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-19 08:02:27,2025-10-27 02:56:13,698,698,4,0,808,4,525,2,277
6459383100700101965,L1 task-pick_water_50_4_7th-47,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2025-01-17 09:40:00,2026-03-24 15:10:17,773,773,37,0,773,37,720,16,0
8003703582800106601,Share your important life events with us!,Lifelog Canvas,8001995155700102014,ONLINE,COLLECTING,submission,FATE_TPL_000001,1000000,2025-07-15 08:31:42,2026-03-26 17:51:26,752,752,300,0,753,301,412,40,0
6155757486000100810,L3 ucsd_kitchen_dataset_ep000127,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-19 08:04:50,2025-10-27 03:04:50,648,648,3,0,671,3,436,2,230
9142619218600104184,Bind Discord Account,Discord,9142612116800104078,PREPARING,COLLECTING,submission,DISCORD_BIND,100000000,2025-11-24 05:53:31,2025-12-08 06:17:32,663,663,663,0,664,664,0,0,0
6459383104500101968,L1 task-pick_water_50_4_7th-48,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2025-01-17 09:40:33,2026-03-24 15:16:58,593,593,32,0,593,32,542,19,0
6155757489700100813,L3 ucsd_kitchen_dataset_ep000128,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-19 08:05:33,2025-10-28 03:01:41,583,583,3,0,583,3,381,2,197
9142620247300104296,Join Discord Community,Discord,9142612116800104078,PREPARING,COLLECTING,submission,DISCORD_JOIN_SERVER,100000000,2025-11-24 05:53:51,2025-12-08 06:17:55,577,577,577,0,577,577,0,0,0
6459383103200101967,L3 task-pick_water_50_4_7th-47,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2025-01-17 09:40:23,2026-03-24 15:12:59,555,555,25,0,555,25,514,16,0
6155757483600100808,L1 ucsd_kitchen_dataset_ep000127,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-19 08:04:16,2025-10-27 02:58:35,525,525,4,0,549,5,389,2,153
6459383108700101971,L1 task-pick_water_50_4_7th-49,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2025-01-17 09:40:56,2026-03-24 16:00:33,501,501,27,0,501,27,453,21,0
9142603704300104066,Bind Telegram Account,Telegram,9142598202600104056,PREPARING,COLLECTING,submission,TELEGRAM_BIND,100000000,2025-11-24 05:59:21,2025-12-08 07:37:06,470,470,470,0,472,472,0,0,0
6155757493100100816,L3 ucsd_kitchen_dataset_ep000129,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-19 08:06:17,2025-10-28 03:02:30,457,457,4,0,470,4,327,2,137
9142586063500104041,Follow X Account,X,9142570114500104016,PREPARING,COLLECTING,submission,X_FOLLOW,100000000,2025-11-24 06:03:06,2025-12-07 07:39:23,431,431,428,0,454,428,26,0,0
9142603893300104067,Join Telegram Community,Telegram,9142598202600104056,PREPARING,COLLECTING,submission,TELEGRAM_JOIN_GROUP,100000000,2025-11-24 05:52:33,2025-12-08 07:37:31,454,454,454,0,454,454,0,0,0
6459383107200101970,L3 task-pick_water_50_4_7th-48,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2025-01-17 09:40:48,2026-03-24 15:20:11,452,452,23,0,452,23,404,25,0
6155757487200100811,L1 ucsd_kitchen_dataset_ep000128,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-19 08:05:07,2025-10-27 03:05:04,404,404,4,0,439,4,371,2,62
9142579737400104034,Bind X Account,X,9142570114500104016,PREPARING,COLLECTING,submission,X_BIND,1000000000,2025-11-24 06:02:43,2025-12-07 07:38:59,438,438,438,0,438,438,0,0,0
9142588971900104045,Retweet X Post,X,9142570114500104016,PREPARING,COLLECTING,submission,X_RETWEET,100000000,2025-11-24 05:55:42,2025-12-07 07:39:56,416,416,396,0,420,396,24,0,0
6155757496600100819,L3 ucsd_kitchen_dataset_ep000130,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-19 08:07:13,2025-10-28 03:12:05,410,410,5,0,420,5,276,2,137
7468790887100109122,"Evaluate videos, shape AI's future",Video Evaluation,7468699780400109017,PREPARING,COLLECTING,submission,CMU_TPL_000001,999,2025-05-14 10:44:41,2025-05-20 15:48:55,42,42,14,0,418,94,324,0,0
6459383111200101973,L3 task-pick_water_50_4_7th-49,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2025-01-17 09:41:09,2026-03-24 16:02:30,395,395,21,0,395,21,365,9,0
6155757490800100814,L1 ucsd_kitchen_dataset_ep000129,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2024-12-19 08:05:49,2025-10-28 03:02:01,336,336,3,0,342,3,289,2,48
6459383112500101974,L1 task-pick_water_50_4_7th-5,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2025-01-17 09:41:18,2026-03-24 16:05:24,338,338,24,0,338,24,308,6,0
6459383115200101976,L3 task-pick_water_50_4_7th-5,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2025-01-17 09:41:43,2026-03-24 16:08:18,335,335,19,0,335,19,314,2,0
6155757500300100822,L3 ucsd_kitchen_dataset_ep000131,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2024-12-25 17:22:59,2025-10-29 02:47:24,325,325,4,0,327,4,214,2,107
6459383118700101979,L3 task-pick_water_50_4_7th-50,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2025-01-17 09:42:09,2026-03-24 16:13:23,315,315,15,0,315,15,297,3,0
6459383116300101977,L1 task-pick_water_50_4_7th-50,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2025-01-17 09:41:52,2026-03-24 16:11:50,314,314,23,0,314,23,289,2,0
6459383120000101980,L1 task-pick_water_50_4_7th-6,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2025-01-17 09:42:18,2026-03-25 05:57:43,306,306,22,0,306,22,283,1,0
6459383122500101982,L3 task-pick_water_50_4_7th-6,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2025-01-17 09:42:33,2026-03-25 06:00:04,297,297,13,0,298,13,283,2,0
6459383123700101983,L1 task-pick_water_50_4_7th-7,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000001,10000000,2025-01-17 09:42:42,2026-03-25 06:44:41,293,293,20,0,293,20,272,1,0
6459383126200101985,L3 task-pick_water_50_4_7th-7,Robotics,ROBSTIC001,ONLINE,COLLECTING,submission,ROBOTICS_TPL_000003,10000000,2025-01-17 09:42:57,2026-03-25 06:47:57,290,290,13,0,290,13,275,2,0
